Index,Air Quality,Predictie
3691,Moderate,Poor
641,Poor,Moderate
1152,Poor,Moderate
1399,Moderate,Poor
3502,Good,Moderate
1090,Hazardous,Poor
1517,Hazardous,Poor
1279,Moderate,Poor
3446,Poor,Moderate
1829,Moderate,Poor
794,Hazardous,Poor
2417,Hazardous,Poor
2618,Hazardous,Poor
1980,Good,Moderate
3277,Hazardous,Poor
1096,Poor,Hazardous
3817,Poor,Moderate
2183,Poor,Hazardous
670,Hazardous,Poor
69,Good,Moderate
1513,Poor,Moderate
1058,Poor,Moderate
3041,Moderate,Poor
3464,Moderate,Good
687,Hazardous,Poor
237,Poor,Hazardous
137,Hazardous,Poor
2688,Moderate,Poor
2856,Poor,Moderate
1300,Hazardous,Poor
2850,Poor,Moderate
555,Poor,Moderate
3796,Hazardous,Poor
2861,Poor,Moderate
2870,Poor,Moderate
163,Poor,Hazardous
2235,Good,Moderate
493,Poor,Moderate
2588,Hazardous,Poor
2498,Good,Moderate
2758,Poor,Hazardous
457,Good,Moderate
1912,Moderate,Poor
367,Poor,Hazardous
63,Poor,Hazardous
631,Poor,Moderate
2154,Poor,Moderate
1306,Moderate,Poor
2983,Poor,Moderate
414,Poor,Hazardous
3925,Poor,Moderate
1834,Hazardous,Poor
1316,Poor,Hazardous
558,Poor,Moderate
220,Hazardous,Poor
709,Moderate,Poor
3833,Hazardous,Poor
2477,Hazardous,Poor
2292,Poor,Moderate
691,Poor,Moderate
2690,Hazardous,Poor
3087,Moderate,Poor
2948,Poor,Moderate
2010,Good,Moderate
290,Poor,Hazardous
10,Poor,Moderate
2381,Poor,Moderate
3353,Moderate,Poor
2556,Poor,Moderate
331,Poor,Moderate
3100,Hazardous,Poor
1539,Moderate,Poor
1663,Hazardous,Poor
3743,Poor,Hazardous
3601,Moderate,Poor
2315,Poor,Moderate
2445,Moderate,Poor
2531,Poor,Moderate
916,Poor,Hazardous
1070,Moderate,Poor
788,Poor,Hazardous
2454,Moderate,Poor
3255,Good,Moderate
2612,Hazardous,Poor
1364,Poor,Moderate
1687,Poor,Moderate
3092,Moderate,Poor
1764,Moderate,Poor
2115,Hazardous,Poor
3382,Moderate,Poor
31,Hazardous,Poor
2513,Good,Moderate
3639,Poor,Hazardous
3686,Hazardous,Poor
3262,Poor,Hazardous
3622,Hazardous,Poor
2483,Poor,Hazardous
2153,Poor,Hazardous
2962,Hazardous,Poor
3617,Moderate,Poor
